
-----------------------------------
Cluster 1:
  - Hash: 004a2dc3ec7b98fa7fe6ae9c23a8b051ec30bcfcd2bc387c440c07ff5180fe9a, Malware Name: Egregor
  - Hash: 6a441734b34cdee31a01164140b0c88966fbb4358dcb63a14ae6824f09e9476f, Malware Name: Egregor
  - Hash: aee131ba1bfc4b6fa1961a7336e43d667086ebd2c7ff81029e14b2bf47d9f3a7, Malware Name: Egregor
  - Hash: a376fd507afe8a1b5d377d18436e5701702109ac9d3e7026d19b65a7d313b332, Malware Name: Egregor
  - Hash: a5989c480ec6506247325652a1f3cb415934675de3877270ae0f65edd9b14d13, Malware Name: Egregor
  - Hash: 2d01c32d51e4bbb986255e402da4624a61b8ae960532fbb7bb0d3b0080cb9946, Malware Name: Egregor
  - Hash: 3fc382ae51ceca3ad6ef5880cdd2d89ef508f368911d3cd41c71a54453004c55, Malware Name: Egregor
  - Hash: 9c900078cc6061fb7ba038ee5c065a45112665f214361d433fc3906bf288e0eb, Malware Name: Egregor
  - Hash: 30c18908c6f9b545dafa30edfc24f5fbd808ed69343f701c1f8d6501fe83cbdf, Malware Name: Egregor
  - Hash: 4139c96d16875d1c3d12c27086775437b26d3c0ebdcdc258fb012d23b9ef8345, Malware Name: Egregor
  - Hash: 2d563dd113a02fdf452544ae2fd7c94162be6db8fb7a287a3474a6ab998159fd, Malware Name: Egregor
  - Hash: 14e547bebaa738b8605ba4182c4379317d121e268f846c0ed3da171375e65fe4, Malware Name: Egregor
  - Hash: 7caed5f406445c788543f55af6d98a8bc4f0c104e6a51e2564dd37b6a485cc18, Malware Name: Egregor
  - Hash: 42ac07c5175d88d6528cfe3dceacd01834323f10c4af98b1a190d5af7a7bb1cb, Malware Name: Egregor
  - Hash: 932778732711cd18d5c4aabc507a65180bf1d4bd2b7d2d4e5506be4b8193596e, Malware Name: Egregor
  - Hash: 9017c070ad6ac9ac52e361286b3ff24a315f721f488b53b7aaf6ac35de477f44, Malware Name: Egregor
  - Hash: 605c2047be7c4a17823ad1fa5c1f94fd105721fce3621dc9148cd3baf352938e, Malware Name: Egregor
  - Hash: 14da004cc96b910fb75abb86df09e318d92f4fb8dda39c8bd6a8e0601b6605d8, Malware Name: Egregor
  - Hash: 311baa4d4229a8d6802d82a8d9935592bf9a7b6aaf0949f0fa0b094592f5e8a7, Malware Name: Maze

-----------------------------------
Cluster 4:
  - Hash: 4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e, Malware Name: Maze
  - Hash: 4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: 4263eacd358d5ef9efacff1f63ff79487639136c0268938755a4bfe3f5797167, Malware Name: Maze
  - Hash: 4263eacd358d5ef9efacff1f63ff79487639136c0268938755a4bfe3f5797167, Malware Name: Maze
  - Hash: 4263eacd358d5ef9efacff1f63ff79487639136c0268938755a4bfe3f5797167, Malware Name: Maze
  - Hash: bff478766c3a3962228a15fcaae1fbf8c31ec337a83496c4670cd3e704ead735, Malware Name: Maze
  - Hash: 3885589a3c94d0475a6d994e4644e682f4cff93f8b4d65f37508ffe706861363, Malware Name: Maze
  - Hash: a6bf25b3bfc2ab57ad8c1c7e130379a3a4dc0a97b6b3da04e27db79ed361e697, Malware Name: Maze
  - Hash: a6bf25b3bfc2ab57ad8c1c7e130379a3a4dc0a97b6b3da04e27db79ed361e697, Malware Name: Maze
  - Hash: d65fa9ed1220cfa12d22239ca62a4b5978bb613090fc1dcb0cccdf191151d125, Malware Name: Maze
  - Hash: 2c69536793ab6f3a38bd0ab79d70ad8fb271b975c8c707175246f11d5be22f8c, Malware Name: Maze
  - Hash: 2c69536793ab6f3a38bd0ab79d70ad8fb271b975c8c707175246f11d5be22f8c, Malware Name: Maze
  - Hash: 53bba522663285740d740031f1878f7a4886b582ebcdbddc043afcd0dca70028, Malware Name: Maze
  - Hash: 4c051e7271b06cf26f59d2076be6e543595ae8599d7c62b55dbfbc438d6e4fe8, Malware Name: Maze
  - Hash: 4c051e7271b06cf26f59d2076be6e543595ae8599d7c62b55dbfbc438d6e4fe8, Malware Name: Maze
  - Hash: 718810b8eeb682fc70df602d952c0c83e028c5a5bfa44c506756980caf2edebb, Malware Name: AvosLocker
  - Hash: fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f, Malware Name: AvosLocker
  - Hash: fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f, Malware Name: AvosLocker
  - Hash: 6713403015feb8959093f5d007bcbdbb3be9eec96dd62f517786b67506067251, Malware Name: Egregor
  - Hash: c3c50adcc0a5cd2b39677f17fb5f2efca52cc4e47ccd2cdbbf38815d426be9e1, Malware Name: Egregor
  - Hash: 4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e, Malware Name: Maze
  - Hash: 4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: 4263eacd358d5ef9efacff1f63ff79487639136c0268938755a4bfe3f5797167, Malware Name: Maze
  - Hash: 4263eacd358d5ef9efacff1f63ff79487639136c0268938755a4bfe3f5797167, Malware Name: Maze
  - Hash: 4263eacd358d5ef9efacff1f63ff79487639136c0268938755a4bfe3f5797167, Malware Name: Maze
  - Hash: bff478766c3a3962228a15fcaae1fbf8c31ec337a83496c4670cd3e704ead735, Malware Name: Maze
  - Hash: 3885589a3c94d0475a6d994e4644e682f4cff93f8b4d65f37508ffe706861363, Malware Name: Maze
  - Hash: a6bf25b3bfc2ab57ad8c1c7e130379a3a4dc0a97b6b3da04e27db79ed361e697, Malware Name: Maze
  - Hash: a6bf25b3bfc2ab57ad8c1c7e130379a3a4dc0a97b6b3da04e27db79ed361e697, Malware Name: Maze
  - Hash: d65fa9ed1220cfa12d22239ca62a4b5978bb613090fc1dcb0cccdf191151d125, Malware Name: Maze
  - Hash: 2c69536793ab6f3a38bd0ab79d70ad8fb271b975c8c707175246f11d5be22f8c, Malware Name: Maze
  - Hash: 2c69536793ab6f3a38bd0ab79d70ad8fb271b975c8c707175246f11d5be22f8c, Malware Name: Maze
  - Hash: 53bba522663285740d740031f1878f7a4886b582ebcdbddc043afcd0dca70028, Malware Name: Maze
  - Hash: 4c051e7271b06cf26f59d2076be6e543595ae8599d7c62b55dbfbc438d6e4fe8, Malware Name: Maze
  - Hash: 4c051e7271b06cf26f59d2076be6e543595ae8599d7c62b55dbfbc438d6e4fe8, Malware Name: Maze

-----------------------------------
Cluster 5:
  - Hash: b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4, Malware Name: TrickBot
  - Hash: b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4, Malware Name: TrickBot
  - Hash: b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4, Malware Name: TrickBot
  - Hash: b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4, Malware Name: TrickBot
  - Hash: d567d76acca155164b8ec34248ea53d9af8564f7122e6437079ef65b27e622c1, Malware Name: TrickBot
  - Hash: d567d76acca155164b8ec34248ea53d9af8564f7122e6437079ef65b27e622c1, Malware Name: TrickBot
  - Hash: e8a091a84dd2ea7ee429135ff48e9f48f7787637ccb79f6c3eb42f34588bc684, Malware Name: Maze
  - Hash: e8a091a84dd2ea7ee429135ff48e9f48f7787637ccb79f6c3eb42f34588bc684, Malware Name: Maze
  - Hash: e8a091a84dd2ea7ee429135ff48e9f48f7787637ccb79f6c3eb42f34588bc684, Malware Name: Maze
  - Hash: 6a22220c0fe5f578da11ce22945b63d93172b75452996defdc2ff48756bde6af, Malware Name: Maze
  - Hash: 6a22220c0fe5f578da11ce22945b63d93172b75452996defdc2ff48756bde6af, Malware Name: Maze
  - Hash: 6a22220c0fe5f578da11ce22945b63d93172b75452996defdc2ff48756bde6af, Malware Name: Maze
  - Hash: 6a22220c0fe5f578da11ce22945b63d93172b75452996defdc2ff48756bde6af, Malware Name: Maze
  - Hash: 4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e, Malware Name: Maze
  - Hash: 1e21459e9db8aafbae60cba51cf64a557e3ab1dd0b37141e6b423b476ee196ac, Malware Name: Maze
  - Hash: f03172bd32ed16df6dda8e8146d24b073b864da59d669218fcc5e97835a5e956, Malware Name: Maze
  - Hash: 311baa4d4229a8d6802d82a8d9935592bf9a7b6aaf0949f0fa0b094592f5e8a7, Malware Name: Maze
  - Hash: 311baa4d4229a8d6802d82a8d9935592bf9a7b6aaf0949f0fa0b094592f5e8a7, Malware Name: Maze
  - Hash: 3885589a3c94d0475a6d994e4644e682f4cff93f8b4d65f37508ffe706861363, Malware Name: Maze
  - Hash: 3885589a3c94d0475a6d994e4644e682f4cff93f8b4d65f37508ffe706861363, Malware Name: Maze
